token,frequency
emergence,1
of,5
new,1
media,1
century,1
to,3
be,2
seen,1
close,1
connection,1
with,1
spread,1
printing,1
press,2
from,5
which,1
publishing,1
name,1
german,3
language,1
relation,1
by,2
holy,1
roman,1
empire,1
nation,1
is,1
often,1
recognized,1
as,1
first,1
newspaper,2
second,1
was,1
published,2
both,1
distinguished,1
themselves,1
other,1
material,1
on,2
regular,1
basis,1
they,1
reported,1
variety,1
current,1
broad,1
public,1
audience,1
within,1
few,1
could,1
found,1
all,1
major,1
cities,1
europe,1
do,1
